"author","Affiliation"
"Keisuke Otaki","Islamic Azad University, Janah"
"Daria Sorokina","Naytev"
"Daniel Polani","UserTesting"
"Tobias Jung 0001","Zero Financial"
"Slobodan Vucetic","Windsor University School of Medicine"
"Zhuang Wang","Kagawa Medical School"
"Nello Cristianini","Universidad Privada Los Andes"
"Hongtao Lu","AMD"
"Jingyuan Lv","Liaoning Technical University"
"Xianzhong Long","Kosin University"
"Christoph Freudenthaler","Windsor University School of Medicine"
"Lars Schmidt-Thieme","Ecole de l'Air"
"Lucas Drumond","Swiftly"
"Zeno Gantner","Universidade para o Desenvolvimento do Alto Vale do Itajaí"
"Andreas Ruttor","Stitch Labs"
"Florian Stimberg","Logikcull"
"Alan S. Willsky","Outreach"
"Jason L. Williams","Braintree"
"John W. Fisher III","Radical Designs"
"Firas Hamze","Ahi Evran University"
"Nimalan Mahendran","University of California, Riverside"
"Ziyu Wang 0001","Kentik"
"Linda H. Zhao","Credit Karma"
"Francesco Bartolucci","Layer"
"Nial Friel","Woebot Labs"
"Silvia Pandolfi","The Juilliard School"
"Thierry Artières","Quantcast"
"Trinh Minh Tri Do","Outreach"
"Andreas Köhler","Ivanovo State Power University"
"Carsten Riggelsen","UserTesting"
"Frank Scherbaum","Universidad Privada Los Andes"
"Matthias Ohrnberger","Stitch Labs"
"Han Xiao 0002","Avicenna International College"
"Thomas Stibor","Skillz"
"Christian Bauckhage","Kabam"
"Christian Thurau","University of Engineering and Technology Lahore"
"Mirwaes Wahabzada","Naytev"
"David Duvenaud","BloomThat"
"Mark Schmidt 0001","Huaihai Institute of Technology"
"Ofer Dekel","Huaihai Institute of Technology"
"David Luengo","Bayside Solutions"
"Mauricio A. Álvarez","Kabam"
"Miguel Á. Carreira-Perpiñán","Oracle"
"Zhengdong Lu","Gemini"
"Joseph Naor","The Superior College "
"Niv Buchbinder","Flipboard"
"Shahar Chen","Kabam"
"Ali Rahimi","Swiftly"
"Branislav Kveton","Credit Karma"
"Ling Huang","Veterinärmedizinische Universität Wien"
"Michal Valko","Oracle"
"Marcus A. Brubaker","The Sourcery"
"Mathieu Salzmann","Rockbot"
"Raquel Urtasun","Zero Financial"
"Colin de la Higuera","TrustArc"
"Rémi Eyraud","Ivanovo State Power University"
"Sicco Verwer","Grand Rounds"
"Jonathan Huang","Universidad Privada Los Andes"
"Leonidas J. Guibas","Flipboard"
"Xiaoye Jiang","University of Baltimore"
"Ming Yuan","Aktana"
"Jacob D. Abernethy","99designs"
"Rafael M. Frongillo","Naytev"
"Matthieu Geist","University of Baltimore"
"Olivier Pietquin","Credit Karma"
"Daniel Tarlow","Radical Designs"
"Richard S. Zemel","University of Debrecen "
"Bharat Rao","Radical Designs"
"Faisal Farooq","City University Programs in Bulgaria "
"Glenn Fung","National Hsin-Chu Teachers College"
"Yan Yan 0024","Preston University, Pakistan Campus"
"Guy Lebanon","Royal Danish School of Pharmacy"
"Krishnakumar Balasubramanian 0002","Betterworks"
"Pinar Donmez","Outreach"
"Jason K. Johnson","Universidade para o Desenvolvimento do Alto Vale do Itajaí"
"Venkat Chandrasekaran","University of California, Riverside"
"Han Liu","Beijing Union University"
"Yuan Yao 0011","Zero Financial"
"Mohammad Emtiyaz Khan","University of Engineering and Technology Lahore"
"Shakir Mohamed","99designs"
"Tai Sing Lee","Kasetsart University"
"Thomas S. Stepleton","Universidad Privada Abierta Latinoamericana"
"Ruslan Salakhutdinov","Odense University"
"András Falus","Swiftly"
"Csaba Szalai","Universitat de Vic"
"Gábor Hullám","Kasetsart University"
"Peter Antal","Rockbot"
"Mladen Kolar","Kasetsart University"
"Alexander N. Dolia","Ahi Evran University"
"Jim C. Huang","Liaoning Technical University"
"Nebojsa Jojic","West Pomeranian Business School in Szczecin"
"David J. Kriegman","Grand Rounds"
"Gert R. G. Lanckriet","Kasetsart University"
"Josh Wills","Université Senghor d'Alexandrie"
"Lawrence Cayton","UserTesting"
"Sameer Agarwal 0001","Jobspring Partners"
"Serge J. Belongie","Universidade para o Desenvolvimento do Alto Vale do Itajaí"
"Boaz Lerner","Indeed"
"Nuaman Asbeh","Indeed"
"Hema A. Murthy","Oracle"
"Sanasam Ranbir Singh","Tokushima University"
"Timothy A. Gonsalves","Highland Capital Partners"
"Adrienn Szabó","Islamic Azad University, Janah"
"Dávid Siklósi","Universidad Privada Abierta Latinoamericana"
"István Bíró","Naytev"
"Miklós Kurucz","Kentik"
"Péter Csizsek","Oracle"
"Róbert Iwatt","Huaihai Institute of Technology"
"Tamás Kiss","Aktana"
"Zsolt Fekete","Mozilla"
"Guillermo Sapiro","Betterworks"
"Hongxia Yang","Kentik"
"Lawrence Carin","Bayside Solutions"
"Mingyuan Zhou","Intelliswift"
"Fuxin Li","Logikcull"
"Dominik Seuß","IBM"
"Michael Siebers","Kasetsart University"
"Miriam Kunz","Universidad Autónoma de Veracruz Villa Rica"
"Stefan Lautenbacher","Oracle"
"Ute Schmid","Layer"
"Lizhong Ding 0001","Fachhochschule Erfurt"
"Shizhong Liao","Intelliswift"
"Eunho Yang","RGA Associates"
"Manfred K. Warmuth","University of the Faroe Islands"
"Anoop Korattikara Balan","Universidad Autónoma de Veracruz Villa Rica"
"Changshui Zhang","Flipboard"
"Fei Wang 0001","Betterworks"
"Ole Winther","Tokyo Denki University"
"Shijun Wang","University of Baltimore"
"Daniel Lee","Ahi Evran University"
"Ricky Der","Kentik"
"Yutian Chen","Radical Designs"
"Adityanand Guntuboyina","University of Debrecen "
"Bodhisattva Sen","Okayama University of Science"
"Abdeslam Boularias","Mozilla"
"Jens Kober","Highland Capital Partners"
"Yuxi Li","Universidad Privada Abierta Latinoamericana"
"Ravi Ganti","Beijing Union University"
"David S. Rosenberg","Intelliswift"
"Peter L. Bartlett","Aktana"
"Michael Fink 0002","Liaoning Technical University"
"Florin Constantin","Université Senghor d'Alexandrie"
"Lei Wang","Braintree"
"Satoru Iwata 0001","Naytev"
"Duy Nguyen-Tuong","University of the Faroe Islands"
"Noam Koenigstein","Aktana"
"Yehuda Koren","Technische Universität München"
"Antonio Torralba 0001","Logikcull"
"Joshua B. Tenenbaum","Universidade para o Desenvolvimento do Alto Vale do Itajaí"
"Jian Peng 0001","Kentik"
"Tamir Hazan","The Sourcery"
"Balaji Lakshminarayanan","RGA Associates"
"Cédric Archambeau","Intelliswift"
"Guillaume Bouchard","Huaihai Institute of Technology"
"Michael Siracusa","Preston University, Pakistan Campus"
"Guoqing Liu","BloomThat"
"Jianxin Wu 0001","UserTesting"
"Hung-Yi Lo","Vietnam Maritime University"
"Tsung-Hsien Chiang","Huaihai Institute of Technology"
"Weiran Wang","The Juilliard School"
"Junhui Wang","Heritage College"
"Bharath K. Sriperumbudur","Shandong Medical University"
"Alessandro Lazaric","Outreach"
"Mohammad Ghavamzadeh","Awadhesh Pratap Singh University"
"Yonatan Amit","RGA Associates"
"Jean Morales","Fachhochschule Erfurt"
"Luca Baldassarre","Mozilla"
"Alexander Böhm 0003","IBM"
"Karin J. Metzner","Kagawa Medical School"
"Sandhya Prabhakaran","Universitat de Vic"
"Volker Roth 0001","Technische Universität München"
"Brendan J. Frey","Kagawa Medical School"
"Inmar E. Givoni","Dover"
"Jérémie Mary","Kosin University"
"Olivier Nicol","Naytev"
"Christophe Salperwyck","Vietnam Maritime University"
"Tanguy Urvoy","Postmates"
"Dahua Lin","Intelliswift"
"Choon Hui Teo","General Assembly"
"Jacob Eisenstein","Shandong Medical University"
"Yasin Abbasi-Yadkori","Veterinärmedizinische Universität Wien"
"Vladimir Gorodetsky","University of Baltimore"
"Vladimir Samoilov","Zero Financial"
"Finale Doshi","Clover Network"
"Jurgen Van Gael","Always Hired"
"Kurt Miller","Clover Health"
"Andreas Stuhlmüller","Zero Financial"
"David Wingate","Windsor University School of Medicine"
"Noah D. Goodman","BloomThat"
"Andrey Gulin","Tokyo Denki University"
"Dmitry Pavlov","IBM"
"Igor Kuralenok","Okayama University of Science"
"Daniel Jurafsky","Betterworks"
"Hiyan Alshawi","Philo"
"Valentin I. Spitkovsky","Ahi Evran University"
"Lyle H. Ungar","The Superior College "
"Sanjay Chawla","Universitat de Vic"
"Chao-Kai Chiang","Mozilla"
"Chi-Jen Lu","Ahi Evran University"
"Chia-Jung Lee","West Pomeranian Business School in Szczecin"
"Mehrdad Mahdavi","Layer"
"Rong Jin 0001","Preston University, Pakistan Campus"
"Shenghuo Zhu","Naytev"
"Tianbao Yang","St. Petersburg State University of Technology and Design"
"Daniel M. Roy 0001","University of Engineering and Technology Lahore"
"Ryan Rifkin","Credit Karma"
"Vikash K. Mansinghka","Allbirds"
"David Buchman","Kosin University"
"David Poole 0001","Oracle"
"Michael H. Bowling","Gustav-Siewerth-Akademie"
"Michael Johanson","Highland Capital Partners"
"Liefeng Bo","Aktana"
"Matt Taddy","Université Senghor d'Alexandrie"
"James R. Foulds","Liaoning Technical University"
"Nicholas Navaroli","Always Hired"
"Nizar Bouguila","Flipboard"
"Wentao Fan","Tempo Automation"
"Judea Pearl","National Hsin-Chu Teachers College"
"Jerry Jenkins","Stockholm School of Economics"
"Akiko Takeda","Universidad Privada Abierta Latinoamericana"
"Ayse Erkan","College of St. Elizabeth"
"Yasemin Altun","University of Engineering and Technology Lahore"
"Moritz Grosse-Wentrup","Intelliswift"
"Morteza Alamgir","99designs"
"Dan Stowell","Stitch Labs"
"Mark D. Plumbley","Triplebyte"
"Dunja Mladenic","Shandong Medical University"
"Tadej Stajner","National Hsin-Chu Teachers College"
"James Martens","Stockholm School of Economics"
"Justin Thaler","Ecole de l'Air"
"Li-Yang Tan","Stitch Labs"
"Roberto Franzosi","Okayama University of Science"
"Saatviga Sudhahar","Naytev"
"Kim Steenstrup Pedersen","Linguistic University of Nizhny Novgorod"
"Marco Loog","Kabam"
"Pieter van Dorst","Layer"
"Andreas Töscher","Tempo Automation"
"Michael Jahrer","Sri Padmavati Women's University"
"Katherine A. Heller","Swiftly"
"Daan Fierens","University of Debrecen "
"Hendrik Blockeel","Zero Financial"
"Jesse Davis","Credit Karma"
"Nima Taghipour","National Hsin-Chu Teachers College"
"Michael L. Littman","Ivanovo State Power University"
"Sanjoy Dasgupta","The Juilliard School"
"A. Robert Calderbank","Allbirds"
"Arto Klami","Clover Network"
"Seppo Virtanen","Academy of Management and Entrepreneurship"
"Suleiman A. Khan","Zero Financial"
"Pushmeet Kohli","College of St. Elizabeth"
"Joris M. Mooij","Kagawa Medical School"
"David P. Helmbold","West Pomeranian Business School in Szczecin"
"Philip M. Long","99designs"
"Dhruv Batra","RGA Associates"
"Sebastian Nowozin","Layer"
"Min Sun 0001","Flipboard"
"Murali Telaprolu","Naytev"
"Silvio Savarese","Kosin University"
"Janardhan Rao Doppa","Universidade para o Desenvolvimento do Alto Vale do Itajaí"
"Jed Irvine","Huaihai Institute of Technology"
"John Walker Orr","Aktana"
"Mohammad NasrEsfahani","University of Medicine Magway"
"Prasad Tadepalli","Veterinärmedizinische Universität Wien"
"Shahed Sorower","Always Hired"
"Thomas G. Dietterich","Rockbot"
"Xiaoli Z. Fern","Clover Network"
"Chun-Nan Hsu","Oracle"
"Wee Sun Lee","Universidade para o Desenvolvimento do Alto Vale do Itajaí"
"Raphaël Féraud","Postmates"
"Jeremy Lewi","Triplebyte"
"Robert J. Butera","University of Debrecen "
"Jue Wang","UserTesting"
"Yu-Hong Dai","Swiftly"
"Yun-Shan Fu","The Superior College "
"Tianbing Xu","Logikcull"
"Hamed Valizadegan","Ahi Evran University"
"Duy Khuong Nguyen","Allbirds"
"Khoat Than","Huaihai Institute of Technology"
"Pham Ngoc Khanh","Ecole de l'Air"
"Tu Bao Ho","Firat (Euphrates) University"
"Jianbo Shi","Ahi Evran University"
"Timothée Cour","College of St. Elizabeth"
"Eric Jonas","Dover"
"Vikash Mansinghka 0001","Postmates"
"Seungjin Choi","University of Debrecen "
"Sunho Park","Gustav-Siewerth-Akademie"
"Jane de Winter","Allbirds"
"John Smith Jones","Sri Padmavati Women's University"
"Élouise Smith","Avicenna International College"
"Jun Li 0010","Triplebyte"
"Mans Hulden","Layer"
"Mahito Sugiyama","BloomThat"
"Fares Hedayati","Université Senghor d'Alexandrie"
"André Elisseeff","Intelliswift"
"Gregory F. Cooper","Dover"
"Jean-Philippe Pellet","National Hsin-Chu Teachers College"
"Borja Balle","Heritage College"
"Jorge Castro","Fachhochschule Dortmund"
"Ricard Gavaldà","Huaihai Institute of Technology"
"Thomas Furmston","Fachhochschule Erfurt"
"Romain Thibaux","Woebot Labs"
"Jinfeng Zhuang","Islamic Azad University, Janah"
"Nathan Nan Liu","Ivanovo State Power University"
"Qiang Yang 0001","Windsor University School of Medicine"
"Tianqi Chen","Skillz"
"Yong Yu 0001","Tokyo Denki University"
"Zhao Zheng","Stockholm School of Economics"
"Jian Zhang 0003","UserTesting"
"Jaakko Peltonen","Universidad Autónoma de Veracruz Villa Rica"
"Andreas Ziehe","Intelliswift"
"Florin Popescu","Ecole de l'Air"
"Guido Nolte","Oracle"
"Masamichi Shimosaka","Always Hired"
"Rui Fukui","Universidad Privada Los Andes"
"Ryoma Kawajiri","Universidad Autónoma de Veracruz Villa Rica"
"Tomomasa Sato","Braintree"
"Bert Kappen","West Pomeranian Business School in Szczecin"
"Mohammad Gheshlaghi Azar","Kabam"
"Vicenç Gómez","College of St. Elizabeth"
"Jaime G. Carbonell","St. Petersburg State University of Technology and Design"
"Xi Chen 0010","Gemini"
"Chunquan Liang","Skillz"
"Qun Song 0003","National Hsin-Chu Teachers College"
"Yang Zhang 0010","Braintree"
"Gilles Louppe","Oracle"
"Pierre Geurts","Heritage College"
"András György 0001","College of St. Elizabeth"
"Péter Torma","Shandong Medical University"
"Tuo Zhao","The Sourcery"
"Fernando De la Torre","Ivanovo State Power University"
"Minh Hoai Nguyen","Gemini"
"Xavier Glorot","Ivanovo State Power University"
"Sébastien Guérif","Kentik"
"Daisuke Okanohara","Triplebyte"
"Hirotaka Hachiya","Technische Universität München"
"Ichiro Takeuchi","National Hsin-Chu Teachers College"
"Kilho Shin","TrustArc"
"Anna Choromanska","Fachhochschule Erfurt"
"Claire Monteleoni","Clover Network"
"Ales Erjavec","Highland Capital Partners"
"Blaz Zupan","Indiegogo"
"Crtomir Gorup","Universidade para o Desenvolvimento do Alto Vale do Itajaí"
"Lan Umek","99designs"
"Mojca Mattiazzi","Tempo Automation"
"Petra Kaferle","Postmates"
"Tomaz Curk","Always Hired"
"Uros Petrovic","Vietnam Maritime University"
"Manqi Zhao","Kabam"
"Danny Bickson","Aktana"
"Yucheng Low","Betterworks"
"Alex Po Leung","Intelliswift"
"Jorma Laaksonen","Universitat de Vic"
"Jussi Kujala","College of St. Elizabeth"
"Kitsuchart Pasupa","University of Debrecen "
"Peter Auer","Always Hired"
"Zakria Hussain","Veterinärmedizinische Universität Wien"
"Gautam Dasarathy","Radical Designs"
"Hisashi Kashima","The Superior College "
"Kohei Hayashi","University of Medicine Magway"
"Takashi Takenouchi","Logikcull"
"Doina Precup","Skillz"
"Yuri Grinberg","Betterworks"
"Brian Kulis","Linguistic University of Nizhny Novgorod"
"Inderjit S. Dhillon","Huaihai Institute of Technology"
"Suvrit Sra","Codexis"
"Dazhuo Li","99designs"
"Patrick Shafto","Linguistic University of Nizhny Novgorod"
"Mingrui Wu","Universidade para o Desenvolvimento do Alto Vale do Itajaí"
"Jeffrey Heinz","Technische Universität München"
"Tim Oates 0001","Université Senghor d'Alexandrie"
"Wei Gao 0008","RGA Associates"
"Louis Dorard","Stitch Labs"
"Matthias Hein 0001","Swiftly"
"Syama Sundar Rangapuram","Gustav-Siewerth-Akademie"
"Ilias N. Flaounas","Windsor University School of Medicine"
"Justin Lewis","Kabam"
"Nick Mosdell","Fachhochschule Dortmund"
"Omar Ali","University of Engineering and Technology Lahore"
"Tijl De Bie","Windsor University School of Medicine"
"Joseph K. Bradley","Stockholm School of Economics"
"Caoxie Zhang","Highland Capital Partners"
"Kang G. Shin","Academy of Management and Entrepreneurship"
"David Lisuk","BloomThat"
"Liang Tian","Jobspring Partners"
"Matthias Blume","College of St. Elizabeth"
"Scott Leishman","Intelliswift"
"Seongjoon Koo","Ivanovo State Power University"
"Karthik Sindharan","Islamic Azad University, Janah"
"Deepak Agarwal","Zero Financial"
"Tristan Fletcher","Tempo Automation"
"Alfred M. Bruckstein","Beijing Union University"
"Daniel Vainsencher","College of St. Elizabeth"
"Alexandra Carpentier","BloomThat"
"Peter Orbanz","National Hsin-Chu Teachers College"
"Sinead Williamson","Always Hired"
"Hannes Nickisch","Ivanovo State Power University"
"Andrew J. Connolly","General Assembly"
"Jake VanderPlas","City University Programs in Bulgaria "
"Liang Xiong","Ivanovo State Power University"
"Sam T. Roweis","Stitch Labs"
"Michael Habeck","Universitas Negeri Surabaya"
"Adam D. Smith","Universidad Autónoma de Veracruz Villa Rica"
"Daniel Kifer","Universitat de Vic"
"Dakan Wang","Triplebyte"
"Edward Y. Chang","Aktana"
"Gerardo Hermosillo Valadez","Fachhochschule Dortmund"
"Linda Moy","Bayside Solutions"
"Luca Bogoni","Logikcull"
"Joseph Gonzalez 0001","Dover"
"Gergely Neu","Indeed"
"Claudia Eckert 0001","Rockbot"
"Hasan Ibne Akram","Gustav-Siewerth-Akademie"
"Jérôme Malick","University of Engineering and Technology Lahore"
"Zaïd Harchaoui","Islamic Azad University, Janah"
"Frederick Eberhardt","Naytev"
"Richard Scheines","Swiftly"
"Hongyuan Zha","Allbirds"
"Shuang-Hong Yang","Shandong Medical University"
"Steven P. Crain","RGA Associates"
"Chihiro Shibata","Veterinärmedizinische Universität Wien"
"Shiau Hong Lim","Allbirds"
"Milos Hauskrecht","Allbirds"
"Saeed Amizadeh","Universitas Negeri Surabaya"
"Karsten M. Borgwardt","Stitch Labs"
"Kurt Mehlhorn","University of Baltimore"
"Nino Shervashidze","Veterinärmedizinische Universität Wien"
"Tobias Petri","Firat (Euphrates) University"
"Anton Chechetka","Ecole de l'Air"
"Frank Konietschke","Intelliswift"
"Jonathan D. Rosenblatt","Ivanovo State Power University"
"Kornelius Rohmeyer","Universidade para o Desenvolvimento do Alto Vale do Itajaí"
"Marsel Scheer","Kagawa Medical School"
"Niklas Hack","Universidad Privada Abierta Latinoamericana"
"Thorsten Dickhaus","Universitat de Vic"
"Wiebke Werft","Radical Designs"
"Dirk Husmeier","IBM"
"Marco Grzegorczyk","Fachhochschule Dortmund"
"Jun Morimoto","Veterinärmedizinische Universität Wien"
"Takamitsu Matsubara","Liaoning Technical University"
"Tetsuro Morimura","99designs"
"Martin Pal","Allbirds"
"Aki Vehtari","Zero Financial"
"Jarno Vanhatalo","Kentik"
"Jiji Zhang","RGA Associates"
"Fabio Corradi","Awadhesh Pratap Singh University"
"Yu Zhang 0006","University of California, Riverside"
"Ingo Steinwart","Rockbot"
"Andreas Wendemuth","Always Hired"
"Edin Andelic","Clover Network"
"Marcel Katz","Shandong Medical University"
"Martin Schafföner","Stockholm School of Economics"
"Sven E. Krüger","Swiftly"
"Matthew J. Streeter","Intelliswift"
"Kevin Sharp","Woebot Labs"
"Magnus Rattray","The Sourcery"
"Margareta Ackerman","Linguistic University of Nizhny Novgorod"
"Christopher K. I. Williams","College of St. Elizabeth"
"Jyri J. Kivinen","Kentik"
"J. Zico Kolter","Vietnam Maritime University"
"Ameet Talwalkar","Indeed"
"Huan Liu 0001","Veterinärmedizinische Universität Wien"
"Zheng Zhao 0002","National Hsin-Chu Teachers College"
"Chao Zhang 0017","University of California, Riverside"
"Benjamin Packer","University of the Faroe Islands"
"Danny Goodman","Awadhesh Pratap Singh University"
"Kevin Miller","AMD"
"M. Pawan Kumar","Ecole de l'Air"
"Varun Kanade","Heritage College"
"Fabian Kaelin","Avicenna International College"
"Christopher DuBois","TrustArc"
"András Millinghoffer","Codexis"
"Stefan Haufe","BloomThat"
"Hanna M. Wallach","Huaihai Institute of Technology"
"Philippe Rigollet","Universidade para o Desenvolvimento do Alto Vale do Itajaí"
"Xin Tong","Outreach"
"Paul Kidwell","UserTesting"
"Ryan Hafen","Universidade para o Desenvolvimento do Alto Vale do Itajaí"
"Saptarshi Guha","Huaihai Institute of Technology"
"William S. Cleveland","TrustArc"
"Adrien Couëtoux","University of California, Riverside"
"Hassen Doghmen","AMD"
"Mario Milone","Islamic Azad University, Janah"
"Michèle Sebag","Liaoning Technical University"
"Mátyás Brendel","Awadhesh Pratap Singh University"
"Olivier Teytaud","Academy of Management and Entrepreneurship"
"Decheng Dai","Aktana"
"Jing He","Gemini"
"Peter V. Gehler","University of the Faroe Islands"
"Ben Recht","Okayama University of Science"
"Nikhil Rao 0001","Royal Danish School of Pharmacy"
"Claudio Gentile","Betterworks"
"Fabio Vitale","Kosin University"
"Giovanni Zappella","Vietnam Maritime University"
"Hao Yang 0033","Academy of Management and Entrepreneurship"
"Ayan Acharya","Stitch Labs"
"Eduardo R. Hruschka","Bayside Solutions"
"Joydeep Ghosh","Radical Designs"
"Sreangsu Acharyya","Université Senghor d'Alexandrie"
"Rengül Çetin-Atalay","Royal Danish School of Pharmacy"
"Volkan Atalay","The Juilliard School"
"Zerrin Isik","Okayama University of Science"
"John C. Duchi","99designs"
"Vincent Conitzer","The Superior College "
"Chia-Hsuan Wang","Stockholm School of Economics"
"Cho-Jui Hsieh","Universidad Privada Los Andes"
"Hsiang-Fu Yu","Oracle"
"Hung-Che Lai","Radical Designs"
"Kai-Wei Chang","BloomThat"
"Ken-Yi Lin","Bayside Solutions"
"Shang-Tse Chen","University of Medicine Magway"
"Yi-Kuang Ko","Indeed"
"Abhishek Jaiantilal","Kabam"
"Christian Daniel","General Assembly"
"Gerhard Neumann","City University Programs in Bulgaria "
"Cameron E. Freer","AMD"
"Ji Won Yoon","Logikcull"
"K. Hun Mok","Triplebyte"
"Simon P. Wilson 0001","99designs"
"Andrea Vattani","Odense University"
"Matus Telgarsky","Universidade para o Desenvolvimento do Alto Vale do Itajaí"
"Daniel Stöckel","Shandong Medical University"
"Francesca Incardona","Vietnam Maritime University"
"Jasmina Bogojeska","Tokyo Denki University"
"Maurizio Zazzi","Radical Designs"
"Rolf Kaiser","Allbirds"
"Thomas Lengauer","AMD"
"Jörg Lücke","Oracle"
"Marc Henniges","Kagawa Medical School"
"Fabian Moerchen","Logikcull"
"Kai Zhang 0001","Mozilla"
"Liang Lan","St. Petersburg State University of Technology and Design"
"Jimmy Olsson","Intelliswift"
"Jonas Ströjby","Swiftly"
"Hirokazu Kameyama","Kentik"
"Jun'ichi Takeuchi","Universidad Autónoma de Veracruz Villa Rica"
"Masanori Kawakita","Universidad Privada Abierta Latinoamericana"
"Ryota Izumi","Firat (Euphrates) University"
"Tetsuya Takamori","BloomThat"
"Yi Hu","Gemini"
"Hang Li","Indiegogo"
"Huxiang Gu","St. Petersburg State University of Technology and Design"
"Jun Zhao 0001","BloomThat"
"Kang Liu 0001","Firat (Euphrates) University"
"Liang Xiang","Kasetsart University"
"Liheng Xu","Stockholm School of Economics"
"Rui Diao","Stockholm School of Economics"
"Shiming Xiang","Tokyo Denki University"
"Siwei Lai","St. Petersburg State University of Technology and Design"
"Yang Liu 0021","Vietnam Maritime University"
"Jin Yu","Naytev"
"Nicol N. Schraudolph","Kosin University"
"Simon Günter","Indeed"
"John Blitzer","Ahi Evran University"
"Ming Ji","Beijing Union University"
"Ben Taskar","TrustArc"
"Yuanqing Lin","Vietnam Maritime University"
"Lauren Hannah","Dover"
"Nic Schraudolph","Grand Rounds"
"Hardy Kremer","Université Senghor d'Alexandrie"
"Philipp Kranen","Tokyo Denki University"
"Thomas Seidl 0001","Philo"
"Timm Jansen","National Hsin-Chu Teachers College"
"Elias Bareinboim","Kosin University"
"Hans Ulrich Simon","Outreach"
"Michael Kallweit","Avicenna International College"
"Julian J. McAuley","Logikcull"
"Tibério S. Caetano","Logikcull"
"Gregory Druck","Huaihai Institute of Technology"
"Mukund Narasimhan","Huaihai Institute of Technology"
"Paul A. Viola","Oracle"
"Anthony D. Joseph","RGA Associates"
"Anthony Tran","Tokyo Denki University"
"Benjamin I. P. Rubinstein","Beijing Union University"
"J. Doug Tygar","Okayama University of Science"
"Satish Rao","Stockholm School of Economics"
"Shing-hon Lau","Universidad Privada Los Andes"
"Steven J. Lee","TrustArc"
"Jun Takagi","Kabam"
"Arvind Agarwal","Tokushima University"
"Janneke van de Loo","Windsor University School of Medicine"
"Pierre-Antoine Manzagol","Kentik"
"Samy Bengio","College of St. Elizabeth"
"S. Derin Babacan","Zero Financial"
"Shinichi Nakajima","Codexis"
"Blaise Hanczar","Universidad Privada Los Andes"
"Jean-Daniel Zucker","Islamic Azad University, Janah"
"Malik Sajjad Ahmed Nadeem","Oracle"
"Haidong Shi","Royal Danish School of Pharmacy"
"Gregor Leban","Tokushima University"
"Janez Demsar","City University Programs in Bulgaria "
"Marko Toplak","Technische Universität München"
"Minca Mramor","Kabam"
"Andrzej Pastusiak","University of Engineering and Technology Lahore"
"Christopher J. C. Burges","Kosin University"
"Krysta M. Svore","Kasetsart University"
"Paul N. Bennett","Always Hired"
"Qiang Wu","University of Medicine Magway"
"Edward Challis","Okayama University of Science"
"Jonas Peters","BloomThat"
"Vân Anh Huynh-Thu","Philo"
"Mingjun Zhong","Codexis"
"Henri Maître","Triplebyte"
"Ivan O. Kyrgyzov","Tempo Automation"
"Marine Campedel","Triplebyte"
"Jochen Trumpf","The Superior College "
"Marius Kloft","Windsor University School of Medicine"
"Alina Beygelzimer","Kasetsart University"
"Lev Reyzin","Vietnam Maritime University"
"Tianyi Zhou 0001","Universitas Negeri Surabaya"
"Min Yang","Intelliswift"
"Daniel L. Silver","Postmates"
"Graham W. Taylor","Technische Universität München"
"Jason Eisner","West Pomeranian Business School in Szczecin"
"Yevgeny Seldin","Triplebyte"
"Tarek Abudawood","Beijing Union University"
"Halbert White","University of Baltimore"
"Karim Chalak","College of St. Elizabeth"
"Xun Lu","Vietnam Maritime University"
"David H. Stern","Firat (Euphrates) University"
"Philipp Hennig","BloomThat"
"Sotirios P. Chatzis","Skillz"
"Homin K. Lee","Ivanovo State Power University"
"Fides Aarts","UserTesting"
"Harco Kuppens","Universidad Privada Abierta Latinoamericana"
"Jan Tretmans","Universitas Negeri Surabaya"
"Carl Henrik Ek","Heritage College"
"Trevor Darrell","TrustArc"
"Juho Rousu","Ahi Evran University"
"Artin Armagan","Intelliswift"
"Hyun-Chul Kim","Woebot Labs"
"François Coste","Academy of Management and Entrepreneurship"
"Gaëlle Garet","General Assembly"
"Jacques Nicolas","Academy of Management and Entrepreneurship"
"Christophe Costa Florêncio","Tokyo Denki University"
"Sanjiv Kumar","Betterworks"
"Arun C. Surendran","St. Petersburg State University of Technology and Design"
"John C. Platt","Vietnam Maritime University"
"Takeaki Uno","University of the Faroe Islands"
"Yasuo Tabei","Outreach"
"Andrew McGregor 0001","General Assembly"
"Sudipto Guha","Islamic Azad University, Janah"
"Hyekyoung Lee","University of the Faroe Islands"
"Shahriar Shariat","Linguistic University of Nizhny Novgorod"
"Vladimir Pavlovic 0001","Betterworks"
"Jing Lei 0003","Credit Karma"
"Vincent Q. Vu","Royal Danish School of Pharmacy"
"Jaakko Hollmén","Gustav-Siewerth-Akademie"
"Prem Raj Adhikari","Islamic Azad University, Janah"
"David A. Ross","Sri Padmavati Women's University"
"Manfred Georg","Odense University"
"Omid Madani","Universidade para o Desenvolvimento do Alto Vale do Itajaí"
"Eftychios A. Pnevmatikakis","Awadhesh Pratap Singh University"
"Andrew B. Goldberg","Logikcull"
"Stephen J. Wright 0001","Rockbot"
"Xiaojin Zhu 0001","Okayama University of Science"
"Blake Shaw","Universidad Autónoma de Veracruz Villa Rica"
"Ewout van den Berg","BloomThat"
"Michael P. Friedlander","University of Baltimore"
"John P. Cunningham","Flipboard"
